Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Securing Your Home Network with a Hardware Firewall",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Learn how to make your home network more secure using a hardware firewall with Chris, a security professional.  Speakers include:Chris Krieger","Algonquin D",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Python",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Come learn all about programing in Python from Mike, a member of the Python Users Group in Ann Arbor.  Speakers include:Mike Bernson","Algonquin D",PUBLIC
"Pascal Isn't Air Pressure, It's a Modern Programming Language",5/4/2014,13:00,5/4/2014,13:50,FALSE,"The Pascal programming language is still alive.  Free Pascal is a modern compiler for Pascal that works on nearly all platforms.  It is a low-level, object-oriented programming language that is pretty darned fast.  There will also be a demo of Lazarus, an IDE and cross platform GUI toolkit that allows one to make native applications on Windows/Linux/OSX with one code base.  Expose yourself to the granddaddy programming language that has continued to learn new tricks.    Speakers include:Chad Crabtree","Charlevoix C",PUBLIC
"Diversity in Tech",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Why are tech positions mostly filled by men? What can we do to change this? Join our GoH, Erika Carlson, for this important discussion.   Speakers include:Erika Carlson","Board of Trustees",PUBLIC
"DNSSEC in 50 Minutes",5/4/2014,14:00,5/4/2014,14:50,FALSE,"The Domain Name System (DNS) is the backbone of the Internet and the most successful distributed database in history. It's also thirty years old, and perhaps the most insecure protocol in use today. DNS Security Extensions (DNSSEC) guarantees the integrity of DNS data. Deploying DNSSEC isn't that hard -- once you have a basic understanding of how it works. This talk takes you through the basics of DNSSEC and the deployment considerations. By the author of 'DNSSEC Mastery.'  Speakers include:Michael W. Lucas","Charlevoix A",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Making Clocks and Timepieces with Arduino",5/4/2014,15:00,5/4/2014,15:50,FALSE,"We will discuss and show off several kit examples of Arduino watches and clocks, and go over libraries for timekeeping and reading battery-backed clock chips.  Speakers include:Ethan Dicks","Nicolet",PUBLIC
"Linux - the Scary, Scary Command Line",5/4/2014,8:00,5/4/2014,9:50,FALSE,"Linux hasn't always had a GUI, and you don't *need* a mouse to use or administer a Linux box.  Come get a brief but thorough introduction to interacting with that scary, scary, 'shell' and its tools.  You will need a WiFi-equipped, ssh-running gizmo (laptop, tablet, smartphone) with a *good* keyboard, your mad typing skillz, and your thinking cap.  Attendance limited. Sign up at Ops no less than one hour before.  Speakers include:John D. Bell, Susan","Board of Trustees",PUBLIC
"BoF: Building a Tech Community",5/4/2014,9:00,5/4/2014,9:50,FALSE,"Can you share any ideas on how we can make our technical clubs and community groups better?  What would it take for you to play a more active role in the groups around the area?  Speakers include:","Board of Regents",PUBLIC
"Programming Robots the Old Fashioned Way (A Crash Course in PLC Ladder Logic)",5/4/2014,9:00,5/4/2014,10:50,FALSE,"Voice-controlled robots that can be programmed by waving your arms around are in the news every day - they're the latest craze! Back here on planet Reality, specialized computers called Programmable Logic Controllers (PLCs) are what run practically every industrial process - they control machinery to assemble electronics, regulate temperature, blend pharmaceuticals, and do a thousand more things.  In factories, warehouses, ships, and trucks throughout the world, these rugged workhorses are the core of modern industry.  Learn how they work, how to program them, which units have free programming software, and how to score cheap used units on ebay to install in your army of giant Mecha-Hamsters.   Speakers include:Phil Salkie","Charlevoix C",PUBLIC
"Live: Sunday Morning Linux Review",5/4/2014,9:00,5/4/2014,10:50,FALSE,"Tony, Mat, and Mary record an episode of their popular Linux podcast, the Sunday Morning Linux Review  Speakers include:Mat Enders, Mary Tomich, Tony Bemus","Hamlin",PUBLIC
