Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"The Dark Side -- The Reanimation of Horror",5/4/2019,14:00,5/4/2019,15:00,FALSE,"There has been a resurgence of dark speculative fiction in the past few years. Numerous movies and television programs have appeared including many created by specific platforms (Amazon Prime, Netflix). What is behind this reappearance of horror, or has it been there lurking in the shadows all along?  Speakers include:Nicole E. Castle, Michael Cieslak","Charlevoix A",PUBLIC
"Turning Your Hobby Into A Profession",5/4/2019,14:00,5/4/2019,15:00,FALSE,"Join Mikey Mason as he talks you through the process by which he made the leap from middle-management to full-time comedian to full time geek entertainer. Learn how you can apply his lessons learned to your own life and potentially use them to help make your hobby your profession, as well as some of the pitfalls you might encounter during such a transition (and hopefully, how to avoid them.)  Speakers include:Mikey Mason","Charlevoix B",PUBLIC
"Movie: Ready Player One",5/4/2019,15:00,5/4/2019,18:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
"Comic Books on the Big Screen",5/4/2019,16:00,5/4/2019,17:00,FALSE,"Did you enjoy Aquaman? Do you think Avengers: Endgame will live up to the hype? What would you change regarding Captain Marvel? Am I really the only one who liked Batman vs Superman? Join us to discuss comic book based films, including current, prior, and upcoming offerings. This will be a lively talk about what the movies got right, got wrong, and how they should improve with future cinematic endeavors. We look forward to seeing you there!  Speakers include:Mikey Mason, LadyAna, Saladin Ahmed, Professor X","Algonquin B",PUBLIC
"Recreating Viking History",5/4/2019,17:00,5/4/2019,18:00,FALSE,"Join Danny Hansen as he talks about how creating historical jewelry led to recreating Viking history on the TV show Vikings.  Speakers include:Danny Hansen","EMC I",PUBLIC
"YouTube (Streaming) vs. SoundCloud (Podcasting): A Medium Experiment",5/4/2019,18:00,5/4/2019,19:00,FALSE,"Join Ian the Well-Informed (of the Retro Detroit Nerdfighters Podcast and YouTube critic) for a discussion about the basics of SoundCloud and YouTube, why they're so popular, and the differences between them.  Speakers include:Ianformed","EMC II",PUBLIC
"Movie: Spiderman: Into the Spiderverse",5/4/2019,18:00,5/4/2019,20:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
"Disability and Illness on Television",5/4/2019,20:00,5/4/2019,21:00,FALSE,"This talk will examine television, particularly genre television, and its portrayal (and lack of portrayal) of disabled, ill, and differently abled persons throughout the history of television.  Speakers include:Girlinthechair aka Alex","Charlevoix B",PUBLIC
"Cine Mal Practice",5/4/2019,20:00,5/5/2019,00:00,FALSE,"The next evolution of The Smithee Awards! Come see an all new bad movie show! We still have clips and you still get to vote!  Speakers include:Jeanette Quirk, Matthew Quirk, Amy Conlon, Kevin Hogan","Algonquin B",PUBLIC
"Podcasting Workshop",5/4/2019,20:00,5/4/2019,21:00,FALSE,"Have more questions after 'Podcasting 101?' This session will be a deep-dive into topics of interest to the audience.  Speakers include:Dave Phillips","Charlevoix A",PUBLIC
"Heroes, Villains, and Outsiders: Disability In Comics",5/4/2019,21:00,5/4/2019,22:00,FALSE,"A discussion on the diverse range of disabled characters in the wonderful medium that is comics, including comic based material that has branched off into television and movies. From the well known and more obvious, to those whose abilities could be seen as disabilities, and even lesser known characters, let's explore the backgrounds and portrayals of characters as well as general topics surrounding disability culture in comics. Please feel to bring your own comics, graphic novels, and insights for further discussion.  Speakers include:Girlinthechair aka Alex","Charlevoix B",PUBLIC
"BoF:Star Trek: Disco",5/5/2019,10:00,5/5/2019,11:00,FALSE,"Wear your favorite polyester jumpsuit while discussing the second season of CBSs streaming service pilot show while sitting under a mirror ball. Okay, maybe skip the jumpsuit.  Speakers include:Joy Lucas","Baldwin",PUBLIC
"Surviving Social Media Visibility",5/5/2019,11:00,5/5/2019,12:00,FALSE,"Social media has provided many people the opportunity to make a name for themselves and build a following in ways that were never possible before. However, finding success and a platform comes with many downsides. Harassment, stalkers, hate mail, threats of violence, doxxing, and burnout are all common experiences for those with significant social media visibility. We'll discuss the best and worst of social media experiences, and how we learn to cope.  Speakers include:Mari Brighe","Portage Auditorium",PUBLIC
"From History to the History Channel: The Process from Historical Inspiration to a Finished Product",5/5/2019,12:00,5/5/2019,13:00,FALSE,"Learn what it takes to take inspiration to creation when historical context is involved.  Speakers include:Danny Hansen","Charlevoix B",PUBLIC
"Movie: Back to the Future",5/5/2019,12:00,5/5/2019,14:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
