event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,checkins,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"169","Y","How to Work with People on the Spectrum: A Brief Discussion About Autism","2019-05-04 16:00:00","2019-05-04 17:00:00","Life","","Did you ever wonder or even know that 95% of autistic people (ASD) are unemployed or underemployed? This panel will inform you of the misinformation surrounding autism and how we can help autistic people after high school or even college. Be yourself and not somebody else.","","","","","0","10","0","N","EMC V","","","","","","","","","","","","17157fb2476d2a6b72a7a1679e9b2a85","931353","Ianformed, Greg Walters, Tammy Morris, Nuri Gocay","","","","",""
"58","Y","Hand Spinning 101","2019-05-03 17:00:00","2019-05-03 18:00:00","DIY","","A tutorial on how to spin yarn using wool and a drop spindle with a live demo. If you have a spindle and want to know how to use it, or already and spin and are interested in tips, bring it and some roving to spin along.","","","","","0","7","0","N","EMC III","","","","","","","","","","","","182cea21d0a4ca9c5e53c6d9a727717f","931356","Ellen Rimar","","","","",""
"99","Y","LN2 After Hours Ice Cream 2","2019-05-04 21:00:00","2019-05-04 23:00:00","Food","","Late night ice cream ingredients may include beer, cider, mead, or liquor. Admission will require 21+ ID (proof of legal drinking age). We'll also teach the basics (safety, proportions) and coach anyone who wants to learn to stir or do all this on their own! As a reminder, we make inclusive ice cream. We have non-dairy bases and sugar-free sweeteners on hand. We're prepared if you speak up. We want everyone to be able to enjoy!","","","","","0","19","0","N","LN2 [Hamlin]","","","","","","","","","","","","189769b888d051467b66149e151d08f1","931383","Sarah Elkins, Phil Salkie","","","","",""
"159","Y","Cope or Nope: How to Adult Like a Real Grown Up","2019-05-03 19:00:00","2019-05-03 20:00:00","Life","","It's hard to manage all the things that are part and parcel of adult living. Dishes, laundry, cooking, and more can all sometimes feel overwhelming, especially when brain issues make it harder than normal. This panel will help you find ways to handle the things life throws at you.","","","","","0","14","0","N","EMC I","","","","","","","","","","","","18b6727cdf23d2f519294f678f28ffa6","931377","Beth Bondono","","","","",""
"336","Y","Programming Arcade-style games with Godot","2019-05-04 15:00:00","2019-05-04 16:00:00","Tech","","Ever wanted to make your own arcade-style games but weren't sure where to start? Or have you tried other game engines and decided they were too complex or the licenses were too onerous for your use. Godot is a free, cross-platform, Open Source game engine that handles both 2D and 3D game environments. We'll learn about Godot's interface and terminology. Then we'll talk about how to make a simple 2D game using Godot complete with sprites, sound, and whatever else we can think of.","","","","","0","10","0","N","Nicolet","","","","","","","","","","","","18c8763b63c271d048e595fd82a4b768","931329","Craig Maloney","","","","",""
"121","Y","Sushi Go","2019-05-05 11:00:00","2019-05-05 12:00:00","Gaming","","BG 2-5 players; You are eating at a sushi restaurant and trying to grab the best combination of sushi dishes as they whiz by. Score points for collecting the most sushi rolls or making a full set of sashimi. Dip your favorite nigiri in wasabi to triple its value! And once you've eaten it all, finish your meal with all the pudding you've got! But be careful which sushi you allow your friends to take; it might be just what they need to beat you!","","","","","0","6","0","N","Gaming (TC's Room)","","","","","","","","","","","","198f55c2bfddc0c822c9b6d4017d4339","931386","Heather Williams","","","","",""
"119","Y","Terraforming Mars","2019-05-04 14:00:00","2019-05-04 17:00:00","Gaming","","BG 1-5 players; In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things.","","","","","0","5","0","N","Gaming (TC's Room)","","","","","","","","","","","","1ac2dccb18fe2d3df99db75b1dedf8f7","931386","Heather Williams","","","","",""
"288","Y","What Lies Beneath the Waters","2019-05-05 09:00:00","2019-05-05 10:00:00","Science","","Have you ever wanted to be a treasure hunter? Join us for an introduction to finding treasures and fossils hidden beneath rivers and streams!","","","","","0","5","0","N","EMC I","","","","","","","","","","","","1ae04211410150fa1c970646685d79d9","931377","Patrick Allen, Mary Fitzpatrick","","","","",""
"306","Y","Open Source Music Coding","2019-05-04 18:00:00","2019-05-04 19:00:00","Tech","","Come learn about programming computers to make music. We will start with a brief history on the first computers to ever make music, followed by demos in different programming languages, including SonicPi, and at the end the presenter will give a short, live performance.","","","","","0","8","0","N","Algonquin B","","","","","","","","","","","","1c5f63af51a525c453d64b865d20589b","931395","Norman Witte","","","","",""
"180","Y","Unconditional Basic Income","2019-05-04 17:00:00","2019-05-04 18:00:00","Life","","What would happen if we paid every citizen a cash dividend sufficient to pay for their minimum survival needs? The expensive workload, necessary to prove who deserves it or needs it, costs more money than it saves. This expense is prevented by making it unconditional. We discuss revenue sources, effects on rent, effects on the labor force, and other considerations for this policy which has pilot programs around the world.","","","","","0","23","0","N","Charlevoix C","","","","","","","","","","","","1c706f50cfe64a253875facd1a2bc7e3","933406","Matt Arnold, Kevin O'Brien, Zachary Blagg","","","","",""
