input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Boardroom', 'Life and (un)Death', 'The Tao of Kitteh', 'Caitlynn Poirier', 'The logic of kittehs is abound with mystery and a marked lack of actual logic. Right? No! Kittehs have their own strain of logic they follow which lead them to the sometimes profoundly odd things they do.  The Tao of Kitteh is a primer to learn those on the thinking and actions of kittehs.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Caitlynn Poirier
speakerlist,['Caitlynn Poirier']
hours,0
totalminutes,50
caldescrip,The logic of kittehs is abound with mystery and a marked lack of actual logic. Right? No! Kittehs have their own strain of logic they follow which lead them to the sometimes profoundly odd things they do.  The Tao of Kitteh is a primer to learn those on the thinking and actions of kittehs.
endtime,16:50
name,The Tao of Kitteh
Private,PUBLIC
venue,Boardroom
Book Description,The logic of kittehs is abound with mystery and a marked lack of actual logic. Right? No! Kittehs have their own strain of logic they follow which lead them to the sometimes profoundly odd things they do. The Tao of Kitteh is a primer to learn those on the thinking and actions of kittehs.
Presenters,Caitlynn Poirier
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Life and (un)Death
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Salon A
duration,50 minutes
description,"Everything they told you is wrong.  Examing the ""truth"" of romantic comedies. A funny, interactive discussion on what Hollywood feels ""true love"" is and how it has directly affected your own perception of romantic love.  Tweet your favorite ""good"" or ""bad"" rom-com movie clip to @ShannonsParty to be added to the discussion."
index,2
speakers,Shannon M.
Track,Life and (un)Death
startday,4/26/13
Title,Romantic Comedies Ruined My Life
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,LifeandunDeath
input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Salon A', 'Life and (un)Death', 'Romantic Comedies Ruined My Life', 'Shannon M.', 'Everything they told you is wrong.  Examing the ""truth"" of romantic comedies. A funny, interactive discussion on what Hollywood feels ""true love"" is and how it has directly affected your own perception of romantic love.  Tweet your favorite ""good"" or ""bad"" rom-com movie clip to @ShannonsParty to be added to the discussion.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Shannon M.
